KEY_TO_RAW,HIGHER_GEOG,municipality
"35 mi east of, elev: 4000","North America, United States, California, San Bernardino County",Victorville
35mi W High River alt 4450',"North America, Canada, Alberta, Calgary Region",High River
"36 miles west of High River, alt. 4500', Alberta, Canada","North America, Canada, Alberta, Calgary Region",High River
"38 mi. W High River, Alberta, Can.","North America, Canada, Alberta, Calgary Region",High River
38 miles west of High River,"North America, Canada, Alberta, Calgary Region",High River
"3 Forks Camp, Great Smoky Mountains [National Park], Tenn.,  alt. 2800', Sevier County, Tenn","North America, United States, Tennessee, Sevier County",
"3 Forks Camp, Great Smoky Mountains [National Park], Tenn.,  alt. 3800', Sevier County, Tenn","North America, United States, Tennessee, Sevier County",
"3 Forks Camp, Great Smoky Mountains [National Park], Tenn.,  alt. 800'","North America, United States, Tennessee, Sevier County",
"3 Forks Camp, Great Smoky Mountains [National Park], Tenn.,  alt. 8000', Sevier County, Tenn","North America, United States, Tennessee, Sevier County",
"3 I.R.R. Bridge, Ind.","North America, United States, Indiana, Newton County",Thayer
"3 I.R.R. Bridge, Thayer, Ind.","North America, United States, Indiana, Newton County",Thayer
"3 mi. north Dundee, Kane Co., IL","North America, United States, Illinois, Kane County",West Dundee
3 mi E Lodi,"North America, United States, Mississippi, Montgomery County",Lodi
3 mi E of Ocean Springs,"North America, United States, Mississippi, Jackson County",Ocean Springs
3 miles E. of Ocean Springs,"North America, United States, Mississippi, Jackson County",Ocean Springs
3 miles east of Ocean Springs,"North America, United States, Mississippi, Jackson County",Ocean Springs
"3 miles east of Williams slough, Los Angeles County, Calif.","North America, United States, California, Los Angeles County",Culver City
3 miles N. of mouth of Suwanee River,"North America, United States, Florida, Dixie County",
3 miles NE of Lodi,"North America, United States, Mississippi, Montgomery County",Lodi
3 miles northeast Ocean Springs,"North America, United States, Mississippi, Jackson County",Ocean Springs
"3 miles northeast of Ocean Spring, MS","North America, United States, Mississippi, Jackson County",Ocean Springs
"3 miles northeast of Palatine, IL","North America, United States, Illinois, Cook County",Palatine
"3 miles north of mouth of Suwanee River, Dixie Co., Florida","North America, United States, Florida, Dixie County",
3 miles north of mouth of the Suwannee River,"North America, United States, Florida, Dixie County",
3 miles north of Plainfield,"North America, United States, Illinois, Will County",Plainfield
3 miles north of Suwanee River,"North America, United States, Florida, Dixie County",
3 miles northwest of Elgin,"North America, United States, Illinois, Cook County",Elgin
"3 miles south of Marshall, Clark Co. Illinois","North America, United States, Illinois, Clark County",Marshall
"3 miles W. of Wilmette, IL","North America, United States, Illinois, Cook County",Wilmette
3 miles west of Evanston,"North America, United States, Illinois, Cook County",Evanston
"3 miles west of Octave, Yavapai Co, Ariz.","North America, United States, Arizona, Yavapai County",Octave
3 miles west of Wilmette,"North America, United States, Illinois, Cook County",Wilmette
"3 miles west of Wilmette, Cook County, Illinois","North America, United States, Illinois, Cook County",Wilmette
3 miles west of Zion,"North America, United States, Illinois, Lake County",Zion
3 mi N Colusa,"North America, United States, California, Colusa County",Colusa
3 mi NE Ocean Springs,"North America, United States, Mississippi, Jackson County",Ocean Springs
3 mi N mouth of Suwannee River,"North America, United States, Florida, Dixie County",
3mi N of Suwanee River,"North America, United States, Florida, Dixie County",
3mi N Suwanee River,"North America, United States, Florida, Dixie County",
3 mi W Glencoe,"North America, United States, Illinois, Cook County",Glencoe
444 St. James,"North America, United States, Illinois, Cook County",Chicago
444 St. James Street,"North America, United States, Illinois, Cook County",Chicago
4838 N. Paulina,"North America, United States, Illinois, Cook County",Chicago
4 Corners,"North America, United States",
"4 mi, north of Bartlett, Cook Co. Ill [Illinois]","North America, United States, Illinois, Cook County",Bartlett
4 mi. N.E. Dundee. Cook Co. ILL.,"North America, United States, Illinois, Cook County",East Dundee
4 mi. N. of,"North America, United States, Arizona, Pima County",Tucson
"4mi. North of Bartlett, Cook Co., Illinois","North America, United States, Illinois, Cook County",
"4 miles N. of Bartlett, IL.","North America, United States, Illinois, Cook County",Bartlett
4 miles N. of mouth of Suwanee River,"North America, United States, Florida, Dixie County",
"4 miles N. of Tuscon, AZ","North America, United States, Arizona, Pima County",Tucson
"4 miles N of Bartlett, IL","North America, United States, Illinois, Cook County",Bartlett
"4 miles N of Dundee, IL [Illinois]","North America, United States, Illinois, Kane County",West Dundee
"4 miles north Bartlett, Ill. Cook Co.","North America, United States, Illinois, Cook County",Bartlett
4 miles northeast of Dundee,"North America, United States, Illinois, Cook County",East Dundee
4 miles north of Bartlett,"North America, United States, Illinois, Cook County",Bartlett
"4 miles north of Bartlett, Cook Co., Ill","North America, United States, Illinois, Cook County",Bartlett
"4 miles north of Bartlett, Cook Co., Ill.","North America, United States, Illinois, Cook County",Bartlett
"4 miles north of Bartlett, Cook Co. Ill [Illinois]","North America, United States, Illinois, Cook County",Bartlett
4 miles north of Dundee,"North America, United States, Illinois, Kane County",West Dundee
"4 miles north of Dundee, Kane Co., Ill","North America, United States, Illinois, Kane County",West Dundee
"4 miles north of Dundee, Kane Co., Ill [Illinois]","North America, United States, Illinois, Kane County",West Dundee
4 miles north of Dundee ILL [Illinois],"North America, United States, Illinois, Kane County",West Dundee
4 miles north of Tucson,"North America, United States, Arizona, Pima County",Tucson
4 miles north of Tuscon,"North America, United States, Arizona, Pima County",Tucson
4 miles north Tuscon,"North America, United States, Arizona, Pima County",Tucson
4 miles south-southwest of Halfway Rock,"North America, United States, Maine, Cumberland County",Halfway Rock
"4 miles W. of Hopkins Park, IL, Kankakee Co.","North America, United States, Illinois, Kankakee County",Hopkins Park
"4 miles west of Hopkin's Park, Kankakee County, Ill.","North America, United States, Illinois, Kankakee County",Hopkins Park
"4 miles west of Hopkins Park, IL Kankakee Co.","North America, United States, Illinois, Kankakee County",Hopkins Park
