cat num,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
14284,,980,1,Geology,-,-,-,-,Magnetite,-,-,,- - - - Magnetite - -,"Santa Rita, New Mexico",,Grant,Nex Mexico,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,[Red M next to Museum Number]
14285,,1050,3,Geology,-,-,-,-,Copper,-,-,,- - - - Copper - -,"Houghton, Michigan",Houghton,Houghton,Michigan,United States of America,,,Joseph H. Kaufman,Joseph H. Kaufman,,,,,[Red M next to Museum Number]
14286,,710,1,Geology,Mineral,Silicates,-,Garnets,Garnet,-,-,,Mineral Silicates - Garnets Garnet - -,"Silver City, New Mexico",Silver City,Grant,New Mexico,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,Var. E. Andradite. [Red M next to Museum Number]
14287,,2206,4,Malacology,Mollusca,Gastropoda,-,Amnicolidae,Amnicola,limosa,-,Say,Mollusca Gastropoda - Amnicolidae Amnicola limosa -,"Fox River, Algonquin, Ills. [Illinois]",Algonquin,"McHenry, Kane",Illinois,United States of America,,adult,W.A. Nason,William A. Nason,W.A. Nason,William A. Nason,Jun-07,1907-06,Egg capsules.
14288,,710,1,Geology,-,-,-,-,Colemanite,-,-,,- - - - Colemanite - -,"Dagget [Daggett], California",Daggett,San Bernardino,California,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,[Red M next to Museum Number]
14289,,710,1,Geology,-,-,-,-,Colemanite,-,-,,- - - - Colemanite - -,California,,,California,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,[Red M next to Museum Number]
14290,,710,1,Geology,Mineral,Phosphates,-,AutUnited States of Americaite/Torbernite,Autunite,-,-,,Mineral Phosphates - AutUnited States of Americaite/Torbernite Autunite - -,"Deadwood, S. [South] Dakota",Deadwood,Lawrence,South Dakota,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,[Red M next to Museum Number]
14291,,677,1,Geology,-,-,-,-,Serpentine Marble,-,-,,- - - - Serpentine Marble - -,"Quechee, Vermont",Hartford,Windsor,Vermont,United States of America,,,C.H. Tinkham,C. H. Tinkham,,,,,[Red M next to Museum Number]
14292,,1181,4,Geology,-,-,-,-,Quartz,-,-,,- - - - Quartz - -,"Boulder, Colorado",Boulder,Boulder,Colorado,United States of America,,,Frank M. Woodruff,Frank M. Woodruff,,,,,Var. Jasper. [Red M next to Museum Number]
14293,,980,1,Geology,-,-,-,-,Chalcocite,-,-,,- - - - Chalcocite - -,"Santa Rita, New Mexico",,Grant,New Mexico,United States of America,,,Charles M. Higginson,Charles M. Higginson,,,,,In Quartz.
