Catalog Number,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
22886,,1521,1,Ornithology,Chordata,Aves,-,-,Carpodacus,purpureus,purpureus,(Gmelin),Chordata Aves - - Carpodacus purpureus purpureus,"Bowmanville, Chicago [Illinois]",Chicago,Cook,Illinois,United States of America,male,,F.S. Dayton,Francis S. Dayton,F.S. Dayton,Francis S. Dayton,14 Oct 1898,1898-10-14,
22887,,2419,1,Ornithology,Chordata,Aves,Passeriformes,Paridae,Penthestes,atricapillus,atricapillus,(Linnaeus),Chordata Aves Passeriformes Paridae Penthestes atricapillus atricapillus,"Beach, Illinois",,,Illinois,United States of America,female,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,13-Oct-06,1906-10-13,
22888,,2419,1,Ornithology,Chordata,Aves,Passeriformes,Paridae,Penthestes,atricapillus,atricapillus,(Linnaeus),Chordata Aves Passeriformes Paridae Penthestes atricapillus atricapillus,"Millers, Ind. [Indiana]",Miller,Lake,Indiana,United States of America,female,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,10-Oct-06,1906-10-10,
22889,,2501,1,Ornithology,Chordata,Aves,Passeriformes,Paridae,Penthestes,atricapillus,atricapillus,(Linnaeus),Chordata Aves Passeriformes Paridae Penthestes atricapillus atricapillus,"Millers, Ind. [Indiana]",Miller,Lake,Indiana,United States of America,male,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,6-May-07,1907-05-06,
22890,,2660,1,Ornithology,Chordata,Aves,Passeriformes,Paridae,Penthestes,rufescens,neglecta,(Ridgway),Chordata Aves Passeriformes Paridae Penthestes rufescens neglecta,"San Geronimo, Marion [Marin]Co., Cala. [California]",San Geronimo,Marin,California,United States of America,male,,Purchased,,F.M. Woodruff,Frank M. Woodruff,23-Feb-06,1906-02-23,
22891,,2419,1,Ornithology,Chordata,Aves,-,-,Sitta,canadensis,-,(Linnaeus),Chordata Aves - - Sitta canadensis -,"Millers, Ind. [Indiana]",Miller,Lake,Indiana,United States of America,male,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,10-Oct-06,1906-10-10,
22892,,2845,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,guttata,pallaisii,(Cabanis),Chordata Aves Passeriformes Turdidae Hylocichla guttata pallaisii,"Millers, Ind. [Indiana]",Miller,Lake,Indiana,United States of America,male,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,30-Sep-08,1908-09-30,
22893,,2496,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,guttata,pallaisii,(Cabanis),Chordata Aves Passeriformes Turdidae Hylocichla guttata pallaisii,"Millers, Ind. [Indiana]",Miller,Lake,Indiana,United States of America,,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,25-Apr-07,1907-04-25,
22894,,2609,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,ustulata,swainsonii,(Cabanis),Chordata Aves Passeriformes Turdidae Hylocichla ustulata swainsonii,"Lake Forest, Ills. [Illinois]",Lake Forest,Lake,Illinois,United States of America,female,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9-Sep-07,1907-09-09,
22895,,2609,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,ustulata,swainsonii,(Cabanis),Chordata Aves Passeriformes Turdidae Hylocichla ustulata swainsonii,"Lake Forest, Ills. [Illinois]",Lake Forest,Lake,Illinois,United States of America,,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,9-Sep-07,1907-09-09,
