AGENT_TYPE,PREFERRED NAME,MERGE_FORMAT,ORIGINAL_SPLIT,UNSPLIT
person,Adriaan Van Rossem,Adriaan Van Rossem,Adriaan Van Rossem,Adriaan Van Rossem
person,A. E. Emerson,A. E. Emerson,A E Emerson,A E Emerson
person,A. E. Lunceford,A. E. Lunceford Jr.,A E Lunceford Jr,H K Gloyd & A E Lunceford Jr
person,A. Fisher,A. Fisher,A Fisher,A Fisher
organization,A. G. F. A. A. N. S. C. O. Corporation,A. G. F. A. A. N. S. C. O. Corporation,AGFA ANSCO Corporation,AGFA ANSCO Corporation
person,Agnes Chase,Agnes Chase,Agnes Chase,Agnes Chase
person,Agnes S. Burt,Agnes S. Burt,Agnes S. Burt,Agnes S. Burt
organization,Agricultural Department,Agricultural Department,Agricultural Department,Agricultural Department
person,PLACEHOLDER,A. G. S.,AGS,AGS
person,PLACEHOLDER,A. G. S.,AGS,HKG & AGS
person,PLACEHOLDER,A. G. S.,AGS,AMBIGUOUS
person,A. G. Smith,A. G. Smith,A G Smith,A G Smith
person,A. H. Antonie,A. H. Antonie,A H Antonie,A H Antonie
person,A. H. Barden,A. H. Barden,A H Barden,A H Barden
person,A. Hecht,A. Hecht,A Hecht,A Hecht
person,A. H. Felger,A. H. Felger,A H Felger,"D. Gale, A H Felger"
person,A. H. Verrill,A. H. Verrill,A H Verrill,A H Verrill
person,unknown,A. J. D.,AJD,AJD
person,A. J. Franzen,A. J. Franzen,A J Franzen,W L Necker & A J Franzen
person,A. J. Kirn,A. J. Kirn,A J Kirn,A J Kirn
