part_name,ATTRIBUTE_TYPE,guid,remark,determiner,DETERMINED_DATE,ATTRIBUTE_VALUE
whole organism (70% ethanol),location,CHAS:Herp:4136,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4137,,John Archer,2015-03-11,Reebie: Locker 312A: Unit 25: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4138,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4139,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:414,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4140,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4141,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4142,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4143,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4144,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4145,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4146,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4147,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf C
whole organism (70% ethanol),location,CHAS:Herp:4148,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4149,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:415,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf D
whole organism (70% ethanol),location,CHAS:Herp:4150,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4151,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4152,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
whole organism (70% ethanol),location,CHAS:Herp:4153,,John Archer,2015-03-20,Reebie: Locker 312A: Unit 26: Shelf B
