MATCH,Class,Order,Family,Genus,species,subspecies,form/variety,FullName,Currently Accepted?,Accepted Name,Original Name,irn
Unio radians,Bivalvia,Paleoheterodonta,Unionidae,Unio,radians,,,"Unio radians Lea, I., 1857",No,"Villosa nebulosa (Conrad, 1834)","Unio radians Lea, I., 1857",588345
Unio radiatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,radiatus,,,"Unio radiatus (Gmelin, 1791)",No,"Lampsilis radiata (Gmelin, 1791)","Mya radiata Gmelin, 1791",196574
Unio radiolus,Bivalvia,Paleoheterodonta,Unionidae,Unio,radiolus,,,"Unio radiolus Lea, I., 1871",No,"Elliptio icterina (Conrad, 1834)","Unio radiolus Lea, I., 1871",209236
Unio radiosus,Bivalvia,Paleoheterodonta,Unionidae,Unio,radiosus,,,"Unio radiosus Lea, I., 1871",No,"Pleuronaia barnesiana (Lea, I., 1839)","Unio radiosus Lea, I., 1871",587315
Unio radula,Bivalvia,Paleoheterodonta,Unionidae,Unio,radula,,,"Unio radula Say, 1829",Unknown,,"Unio radula Say, 1829",589230
Unio raeensis,Bivalvia,Paleoheterodonta,Unionidae,Unio,raeensis,,,"Unio raeensis Lea, I., 1859",No,"Elliptio complanata (Lightfoot, 1786)","Unio raeensis Lea, I., 1859",207871
Unio rafinesquei,Bivalvia,Paleoheterodonta,Unionidae,Unio,rafinesquei,,,"Unio rafinesquei Vanatta, 1915",No,"Elliptio occulta (Lea, I., 1843)","Unio rafinesquei Vanatta, 1915",585559
Unio raleighensis,Bivalvia,Paleoheterodonta,Unionidae,Unio,raleighensis,,,"Unio raleighensis Lea, I., 1863",No,"Elliptio complanata (Lightfoot, 1786)","Unio raleighensis Lea, I., 1863",207593
Unio rangianus,Bivalvia,Paleoheterodonta,Unionidae,Unio,rangianus,,,"Unio rangianus Lea, I., 1839",No,"Epioblasma torulosa (Rafinesque, 1820)","Unio rangianus Lea, I., 1839",209410
Unio rariplicata,Bivalvia,Paleoheterodonta,Unionidae,Unio,rariplicata,,,"Unio rariplicata Lamarck, 1819",No,"Amblema plicata (Say, 1817)","Unio rariplicata Lamarck, 1819",584852
Unio rarisulcata,Bivalvia,Paleoheterodonta,Unionidae,Unio,rarisulcata,,,"Unio rarisulcata Lamarck, 1819",No,"Elliptio complanata (Lightfoot, 1786)","Unio rarisulcata Lamarck, 1819",585061
Unio ratus,Bivalvia,Paleoheterodonta,Unionidae,Unio,ratus,,,"Unio ratus Lea, I., 1872",No,"Elliptio complanata (Lightfoot, 1786)","Unio ratus Lea, I., 1872",585201
Unio raveneli,Bivalvia,Paleoheterodonta,Unionidae,Unio,raveneli,,,"Unio raveneli Conrad, 1834",No,"Elliptio raveneli (Conrad, 1834)","Unio raveneli Conrad, 1834",585603
Unio ravenelianus,Bivalvia,Paleoheterodonta,Unionidae,Unio,ravenelianus,,,"Unio ravenelianus Lea, I., 1834",No,"Pleurobema oviforme (Conrad, 1834)","Unio ravenelianus Lea, I., 1834",587032
Unio reclusus,Bivalvia,Paleoheterodonta,Unionidae,Unio,reclusus,,,"Unio reclusus Wright, B.H., 1898",No,"Pleurobema pyriforme (Lea, I., 1857)","Unio reclusus Wright, B.H., 1898",587152
Unio recta,Bivalvia,Paleoheterodonta,Unionidae,Unio,recta,,,"Unio recta Lamarck, 1819",No,"Ligumia recta (Lamarck, 1819)","Unio recta Lamarck, 1819",586591
Unio rectus,Bivalvia,Paleoheterodonta,Unionidae,Unio,rectus,,,"Unio rectus (Lamarck, 1819)",No,"Ligumia recta (Lamarck, 1819)","Unio recta Lamarck, 1819",207594
Unio recurvatus,Bivalvia,Paleoheterodonta,Unionidae,Unio,recurvatus,,,"Unio recurvatus Lea, I., 1871",No,"Pleuronaia dolabelloides (Lea, I., 1840)","Unio recurvatus Lea, I., 1871",587343
Unio reeveianus,Bivalvia,Paleoheterodonta,Unionidae,Unio,reeveianus,,,"Unio reeveianus Lea, I., 1853",No,"Lampsilis reeveiana (Lea, I., 1853)","Unio reeveianus Lea, I., 1853",586403
Unio refulgens,Bivalvia,Paleoheterodonta,Unionidae,Unio,refulgens,,,"Unio refulgens Lea, I., 1868",No,"Rotundaria refulgens (Lea, I., 1868)","Unio refulgens Lea, I., 1868",587742
