TAXON (to match to authority),ACCEPTED TAXON,ACCEPTED AUTHOR,SOURCE,Class,Order,Family,Subfamily
Metepeira arizonica,Metepeira arizonica,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Metepeira sp.,Metepeira sp.,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Micaria sp.,Micaria sp.,,World Spider Catalog,Arachnida,Araneae,Gnaphosidae,
Micrathena gracilis,Micrathena gracilis,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Micrathena sagittata,Micrathena sagittata,,World Spider Catalog,Arachnida,Araneae,Araneidae,
Microlinyphia pusilla,Microlinyphia pusilla,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Mimetus hesperus,Mimetus hesperus,,World Spider Catalog,Arachnida,Araneae,Mimetidae,
Mimetus sp.,Mimetus sp.,,World Spider Catalog,Arachnida,Araneae,Mimetidae,
Mimetus syllepsicus,Mimetus syllepsicus,,World Spider Catalog,Arachnida,Araneae,Mimetidae,
Misumema vatia,Misumena vatia,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Misumenoides aleatorius,Misumenoides formosipes,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Misumenops asperatus,Mecaphesa asperata,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Misumenops celer,Mecaphesa celer,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Misumenops oblongus,Misumessus oblongus,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Misumenops sp.,Misumenops sp.,,World Spider Catalog,Arachnida,Araneae,Thomisidae,
Naphrys (Habrocestum) sp.,Naphrys sp.,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Naphrys sp.,Naphrys sp.,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Neascona benjamina,Neascona sp.,,Petra Sierwald,Arachnida,Araneae,Araneidae,
Neon nellii,Neon nellii,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Neoscona arabesca,Neoscona arabesca,,World Spider Catalog,Arachnida,Araneae,Araneidae,
