MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_RELATIONSHIP_4,MEDIA_RELATED_TERM_4,MEDIA_RELATIONSHIP_5,MEDIA_RELATED_TERM_5,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3,MEDIA_LABEL_4,MEDIA_LABEL_VALUE_4
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23486-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23486-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23486,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23486-3.tif,subject,mollusk,made date,2017-07-08,title,"Syntype of Galba palustrus alpensis, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23486-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23486-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23486,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23486-2.tif,subject,mollusk,made date,2017-07-08,title,"Syntype of Galba palustrus alpensis, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23486-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23486-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23486,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23486-4.tif,subject,mollusk,made date,2017-07-08,title,"Syntype of Galba palustrus alpensis, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23520-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23520-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23520,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23520-1.tif,subject,mollusk,made date,2017-06-30,title,"Paratype of Lymnaea reflexa iowaensis, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23520-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23520-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23520,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23520-2.tif,subject,mollusk,made date,2017-06-30,title,"Paratype of Lymnaea reflexa iowaensis, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23520-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23520-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23520,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23520-3.tif,subject,mollusk,made date,2017-06-30,title,"Paratype of Lymnaea reflexa iowaensis, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23606.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23606.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23606.1,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23606.1-3.tif,subject,mollusk,made date,2017-06-30,title,Lectotype of Lymnaea reflexa jolietensis,subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23622.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23622.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23622.1,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23622.1-3.tif,subject,mollusk,made date,2017-06-24,title,Lectotype of Lymnaea danielsi,subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23626.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23626.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23626.1,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23626.1-3.tif,subject,mollusk,made date,2017-06-30,title,Lectotype of Galba palustris blatchleyi,subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23634.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23634.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23634.1,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_23634.1-3.tif,subject,mollusk,made date,2017-06-24,title,Lectotype of Lymnaea reflexa crystalensis,subject,type specimen
