MEDIA_URI,PREVIEW_URI,MIME_TYPE,MEDIA_TYPE,media_license,media_relationship_1,media_related_term_1,media_relationship_2,media_related_term_2,media_relationship_3,media_related_term_3,media_relationship_4,media_related_term_4,media_label_1,media_label_value_1,media_label_2,media_label_value_2,media_label_3,media_label_value_3,media_label_5,media_label_value_5
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_10165-1.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_10165-1.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,,,shows cataloged_item,CHAS:Inv:10165,title,Image of malacology specimen CHAS:Inv:10165,subject,mollusk,,,made date,2011-08-29
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_10165-2.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_10165-2.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,,,shows cataloged_item,CHAS:Inv:10165,title,Image of malacology specimen CHAS:Inv:10165,subject,mollusk,,,made date,2011-08-29
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_12985-1.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_12985-1.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:12985,title,Syntype of Vitrea lamellidens,subject,mollusk,subject,type specimen,made date,2011-08-31
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_12985-2.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_12985-2.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:12985,title,Syntype of Vitrea lamellidens,subject,mollusk,subject,type specimen,made date,2011-08-31
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_12985-3.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_12985-3.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:12985,title,Syntype of Vitrea lamellidens,subject,mollusk,subject,type specimen,made date,2011-08-31
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_12985-4.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_12985-4.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:12985,title,Syntype of Vitrea lamellidens,subject,mollusk,subject,type specimen,made date,2011-09-07
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_12985-5.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_12985-5.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:12985,title,Syntype of Vitrea lamellidens,subject,mollusk,subject,type specimen,made date,2011-09-07
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_12985-6.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_12985-6.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:12985,title,Syntype of Vitrea lamellidens,subject,mollusk,subject,type specimen,made date,2011-09-07
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18105-1.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18105-1.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18105,title,Paralectotype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
https://web.corral.tacc.utexas.edu/CAS/20190730/jpg/chas_inv_18105-2.dng.jpg,https://web.corral.tacc.utexas.edu/CAS/20190730/tb/tn_chas_inv_18105-2.dng.jpg,image/jpeg,image,CC BY-NC-SA,created by agent,Kevin Eatinger,associated with project,10002309,associated with project,10002533,shows cataloged_item,CHAS:Inv:18105,title,Paralectotype of Sphaerium lilycashense,subject,mollusk,subject,type specimen,made date,2011-08-26
